Topic,Count,Name,Representation,Representative_Docs
-1,22961,-1_of_the_in_and,"['of', 'the', 'in', 'and', 'to', 'with', 'that', 'is', 'for', 'be']","['Clinical signs of pulmonary congestion indicate an increased risk for poor outcome in patients with chest pain due to myocardial ischemia. Mortality of these patients is high, particularly in the first months after presentation. Therefore, hospital admission is warranted, including patients with angina pectoris, who otherwise may be candidates for early discharge.', 'Acute stroke patients with hospital-acquired SUTI are less likely to be discharged home. In our analysis, if poststroke care is necessary, then patients with SUTI are more likely to receive inpatient stroke rehabilitation at the level of care suggestive of lower functional status. For every point increase in NIHSS, stroke patients with SUTI are 10.6% more likely to require continued rehabilitation care in a long-term acute care facility versus a skilled nursing facility compared with 5.6% for patients without SUTI. The combination of premorbid urinary incontinence and urinary tract infection has no additional impact on discharge disposition. This study is limited by its retrospective nature and the undetermined role of psychosocial factors related to discharge. Prospective studies are warranted on the efficacy of early catheter discontinuation, identification of new-onset urinary incontinence, use of genitourinary barriers, and catheter care every shift as variables that can decrease the risk of infection. The information obtained from prospective studies will have an impact on resource use that is of prime importance in the current health care climate.', 'The presence or activation of autophagy was found to play a protective role in human podocytes against high glucose-induced insulin resistance and cell injury, which indicates a novel cellular mechanism and provides a potential therapeutic target for diabetic nephropathy (DN).']"
0,4005,0_cancer_tumor_cells_expression,"['cancer', 'tumor', 'cells', 'expression', 'cell', 'breast', 'prognostic', 'and', 'in', 'that']","['IL-6 was significantly associated with poor prognosis in patients with esophageal cancer. Targeting this cytokine could be a promising strategy for treatment of esophageal cancer, as evidenced by inhibition of aggressive tumor behavior and treatment resistance.', 'These data suggest that COX-2 expression is associated with angiogenesis, lymph node metastasis, and apoptosis in human breast cancer. Moreover, these results warrant further studies with larger series of patients to confirm the association with short disease free survival in patients with breast cancer.', 'These data suggest that apoptosis may play an important role in determining breast cancer response to chemotherapy and that the level of treatment-induced apoptosis may have some value as a predictive marker.']"
1,1066,1_asthma_allergic_airway_ige,"['asthma', 'allergic', 'airway', 'ige', 'allergen', 'il', 'nasal', 'allergy', 'inflammation', 'atopic']","['Omalizumab exerts inhibitory effects on airway inflammation in Japanese patients with severe allergic asthma. This treatment attenuates production of IL-5 by PBMCs stimulated with both a specific allergen and a nonspecific activator. Reduction of the Th2 inflammatory cascade likely contributes to clinical benefits; however, further studies are required to clarify these results due to the small sample size in this study.', 'This in vivo model of HDM-induced allergic airway changes suggests that AHR is not related to either eosinophil influx or allergen-specific serum IgE, thereby reducing the importance of these factors as essential elements for allergic AHR.', 'Our results confirmed that anti-IgE therapy with omalizumab in patients with severe persistent allergic asthma results in decreased expression of ET-1 in the airways. This could be very important in limiting airway inflammation and bronchial structural changes caused by such treatment in asthmatic patients.']"
2,987,2_pain_propofol_morphine_isoflurane,"['pain', 'propofol', 'morphine', 'isoflurane', 'anesthesia', 'analgesia', 'spinal', 'anesthetic', 'lidocaine', 'opioid']","['The analgesic interaction between intrathecally administered bupivacaine and clonidine was examined during acute thermal and inflammatory-induced pain in rats. The analgesia produced by the combination of these two drugs was synergistic in both acute thermal and inflammatory induced pain, with a decrease in behavioral side effects.', 'Both propofol-ketamine and propofol-fentanyl combinations provided effective sedation and analgesia during dressing changes in pediatric burn patients. But propofol-ketamine combination was superior to propofol-fentanyl combination because of more restlessness in patients given propofol-fentanyl.', 'Midazolam premedication reduced propofol requirements and the incidence of intraoperative memory during sedation. These effects on sedation using propofol during spinal anesthesia are considered beneficial for patients.']"
3,833,3_mutation_gene_mutations_genetic,"['mutation', 'gene', 'mutations', 'genetic', 'polymorphism', 'allele', 'genotype', 'variant', 'the', 'risk']","['Our results suggest that genetic variation at the eNOS locus is associated with features of metabolic syndrome, and might represent a new genetic susceptibility component for insulin resistance, hypertriglyceridemia, and low HDL-cholesterol concentrations.', 'It is likely that this mutation causes FMTC, as no other mutation was found in the RET gene, the mutation co-segregates with FMTC, and family members without the mutation are clinically unaffected. As the same point mutation was previously found in a large Brazilian family, it may be present in other populations as well. Therefore, exon 8 of RET should be screened in FMTC families with no identified common RET mutations.', 'Our results suggested that common genetic variants related to vitamin D levels are not associated with risk of ESCC in this Chinese population.']"
4,804,4_pregnancy_endometriosis_women_preeclampsia,"['pregnancy', 'endometriosis', 'women', 'preeclampsia', 'fetal', 'maternal', 'ivf', 'embryo', 'endometrial', 'preterm']","['This study suggests that absolute levels and relative changes in maternal serum M-CSF levels during pregnancy are associated with adverse pregnancy outcomes.', 'Women with endometriosis at first pregnancy have an increased risk of impaired obstetric outcome, while a reduced number of complications occur in the successive gestation. Therefore, it is worthy for obstetricians to increase the surveillance in nulliparous women with endometriosis during pregnancy.', 'We found that the frequencies of preterm birth and placenta previa were significantly increased in women with endometriosis, and the severity of endometriosis might have an adverse impact on ART pregnancy.']"
5,788,5_survival_patients_cancer_stage,"['survival', 'patients', 'cancer', 'stage', 'lymph', 'node', 'tumor', 'chemotherapy', 'prognostic', 'adjuvant']","['We can predict patient prognosis after surgery for non-small cell lung cancer according to the number of lymph nodes instead of the anatomic extent of lymph node metastases. At minimum, the number of metastatic lymph nodes adds more information to the pN category of the current TNM classification system.', 'The sole independent prognostic factor in SM gastric cancer is the involvement of three or more metastatic lymph nodes. We suggest that this simple prognostic indicator for the follow-up of early gastric cancer, and this could lead to potentially effective adjuvant chemotherapy.', 'Although previous clinical trials have not demonstrated a survival difference between patients receiving neoadjuvant versus adjuvant chemotherapy for breast cancer, our study suggests an overall survival benefit in patients with pCR following neoadjuvant chemotherapy compared with patients receiving adjuvant therapy. It is clear that a prospective study needs to be carried out to better elucidate the timing of chemotherapy in patients with TNBC.']"
6,783,6_retinal_corneal_retina_lens,"['retinal', 'corneal', 'retina', 'lens', 'eyes', 'eye', 'glaucoma', 'ocular', 'visual', 'the']","['Our data suggest that ocular complications after implant surgery, including cataract, vitreous hemorrhage, and retinal detachment, were relatively common after ganciclovir implantation but severe vision loss after surgery was low. Presence of immune recovery may lessen the risk of postoperative ocular complications.', 'Global flash mfERG responses of emmetropes and myopes were not found to be significantly different. The measured retinal adaptation response however varied according to the degree of myopia. We hypothesize that dopamine, a neurotransmitter that plays a key role in retinal adaptation and is known to be reduced in myopic eyes, may be involved in the retinal adaptation effect observed.', 'Subretinal visual implants lead to increased capillary microaneurysms, a possible compensatory mechanism following recovery of inner retinal activity. There were no significant changes in capillary loss, calibre alteration of the capillaries, retinal neovascularization and leakage at 4 months. Further study will determine whether and to what degree long-term vascular changes are affected by the surgical procedure, the implant itself and/or recovery of retinal neuronal activity.']"
7,741,7_intestinal_colitis_ibd_gut,"['intestinal', 'colitis', 'ibd', 'gut', 'bowel', 'mucosal', 'uc', 'disease', 'colonic', 'cd']","['The negative impact of colitis on T(R) development in the thymus, which was confirmed in a second model of colitis, has profound implications for the pathogenesis and treatment of human inflammatory bowel disease.', 'Fecal calprotectin predicts clinical relapse of disease activity in patients with CD and UC, whereas small intestinal permeability is a useful predictor of relapse in patients with small intestinal CD.', 'ML-7 has a significant anti-colitis effect in colitis mice. It is mainly associated with the inhibition of the epithelial MLCK protein expression, resulting in ameliorated intestinal mucosal permeability.']"
8,586,8_injury_cardiac_ischemia_reperfusion,"['injury', 'cardiac', 'ischemia', 'reperfusion', 'heart', 'ischemic', 'induced', 'cerebral', 'after', 'activation']","['Post-conditioning protects the rat heart against cold ischemia-reperfusion injury. Our data suggest that this protection involves inhibition of MPTP opening.', 'These results demonstrate that the eNOS provides cardiac protection after myocardial infarction injury through inhibition of cardiac apoptosis and collagen deposition, and suppression of TGF-β1.', 'These findings suggest that EI pretreatment protects against ischemic brain injury via the inhibition of cerebral inflammation and is associated with the PI3K-Akt pathway in rats with MCAO. This drug may be a novel therapeutic agent for patients after stroke.']"
